id,observed_on,user_id,user_login,quality_grade,tag_list,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positioning_method,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
37163031,2020-01-01,2173979,bjpruiksma,research,"",false,1,0,false,3,"Gilson, IL, US",,Knox,Illinois,poison hemlock,Conium maculatum,poison hemlock,Plantae,52998
37163234,2020-01-01,395216,missgreen,research,"",false,1,0,false,,"Illinois, US",,DuPage,Illinois,common buckthorn,Rhamnus cathartica,common buckthorn,Plantae,54811
37163256,2020-01-01,1005173,joelmc,research,"",false,1,0,false,3,"Leonard Wood N, Lake Forest, IL, US",,Lake,Illinois,greater burdock,Arctium lappa,greater burdock,Plantae,75501
37163871,2020-01-01,2307036,biobirdnerd,research,"",false,2,0,false,2,"Oswego Township, IL, USA",,Kendall,Illinois,eastern skunk cabbage,Symplocarpus foetidus,eastern skunk cabbage,Plantae,48961
37164219,2020-01-01,1005173,joelmc,research,"",false,1,0,false,3,"Openlands Open Space, Highland Park, IL, US",,Lake,Illinois,winged euonymus,Euonymus alatus,winged euonymus,Plantae,117433
37165277,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Muskingum Sedge,Carex muskingumensis,Muskingum Sedge,Plantae,160033
37165343,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Bur Oak,Quercus macrocarpa,bur oak,Plantae,54781
37165359,2020-01-01,1005173,joelmc,research,"",false,1,0,false,3,"Openlands Open Space, Highland Park, IL, US",,Lake,Illinois,American marram grass,Ammophila breviligulata,American marram grass,Plantae,130755
37165373,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,northern red oak,Quercus rubra,northern red oak,Plantae,49005
37165423,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Swamp White Oak,Quercus bicolor,swamp white oak,Plantae,54780
37165492,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Common Hackberry,Celtis occidentalis,common hackberry,Plantae,54857
37165740,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,common ninebark,Physocarpus opulifolius,common ninebark,Plantae,129048
37165907,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Common Hoptree,Ptelea trifoliata,common hoptree,Plantae,50625
37166091,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,silver maple,Acer saccharinum,silver maple,Plantae,54762
37166134,2020-01-01,696345,taco2000,research,"",false,2,0,false,3,"Lincoln Park, IL, US",,Cook,Illinois,rough horsetail,Equisetum hyemale,rough horsetail,Plantae,52673
37166142,2020-01-01,696345,taco2000,research,"",false,1,0,false,3,"Montrose Beach, IL, US",,Cook,Illinois,American marram grass,Ammophila breviligulata,American marram grass,Plantae,130755
37166162,2020-01-01,696345,taco2000,research,"",false,1,0,false,3,"Montrose Beach, Chicago, IL, US",,Cook,Illinois,Torrey's rush,Juncus torreyi,Torrey's rush,Plantae,77596
37166249,2020-01-01,696345,taco2000,research,"",false,1,0,false,3,"Lincoln Park, Chicago, IL, US",,Cook,Illinois,tall thimbleweed,Anemone virginiana,tall thimbleweed,Plantae,126369
37166333,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387
37166727,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Black Cherry,Prunus serotina,black cherry,Plantae,54834
